,TF,batch,louvain,n_counts,n_genes,percent_mito,dpt_pseudotime,discrete_time,split,cell_type,Cluster Enriched TFs_colors,highlight_celltype,Depth_from_root,Cluster Enriched TFs,velocity_self_transition,condition,condition_counts,clusters_gradients,terminal_states,terminal_states_probs,member_12-1_absorption,member_11-1_absorption,member_11-0_absorption,member_7-1_absorption,member_12-0_absorption,member_10_absorption,member_5_absorption,member_15_absorption,member_14_absorption
"R1.93,R2.58,R3.95,P1.62-3-1",TFORF1601-ZNF195,1,5,1991.0,1510,0.017076846,0.08456386,0.08456386,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,4.0,others,0.0,TFORF1601-ZNF195,1,15,,0.4322889736496417,0.060710126302045656,0.0820190679441756,0.09915483267571436,0.07429172220360956,0.09716315440820868,0.13889626031985308,0.1795434377201335,0.1477546744511614,0.12046765149599364
"R1.35,R2.52,R3.38,P1.22-0-1",TFORF0986-GZF1,1,12-0,7552.0,3983,0.014698093,0.32282916,0.32282916,val,Smooth muscle cells,others,smooth muscle,7.0,others,0.0,TFORF0986-GZF1,2,12-0,,0.7903715547064512,0.06122090855522357,0.05614189507004486,0.062213730297698916,0.038453789294251715,0.527533686738832,0.0658560624004767,0.06322895088580484,0.07026106934455216,0.05508937554244602
"R1.96,R2.22,R3.80,P1.38-2-1",TFORF0986-GZF1,1,5,2399.0,1765,0.021675698,0.08444971,0.08444971,train,STC2_TLX1 positive cells,others,others,13.0,others,0.0,TFORF0986-GZF1,2,15,,0.4701325468692643,0.05948754316909187,0.0822873552409693,0.09997695621437298,0.07466656468292654,0.09764031777610124,0.14097394460427,0.17220801255604773,0.1492586446719441,0.12350143086722766
"R1.10,R2.58,R3.07,P1.07-2-1-0",TFORF2186-ZNF414,0,3,3969.0,2555,0.012345679,0.10369252,0.10369252,train,Intestinal epithelial cells,others,intestinal epithelial,23.0,others,0.0,TFORF2186-ZNF414,5,14,,0.7754226943331418,0.060650503588403404,0.08288970331445322,0.10303316376294819,0.07524880971109134,0.0996638153424726,0.14575115634011762,0.1303427097243002,0.1517373878046079,0.15068406403172022
"R1.40,R2.87,R3.18,P1.07-2-1-0",TFORF2186-ZNF414,0,1,7117.0,3845,0.02262189,0.030632792,0.030632792,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF2186-ZNF414,5,15,,0.69932832957747,0.06111275685599709,0.08450862137133658,0.10452695898975865,0.07800900957020418,0.10079263999617502,0.14900087159193864,0.13236006795742183,0.16181415439529356,0.12787517383688826
"R1.69,R2.14,R3.58,P1.39-2-2-0",TFORF2186-ZNF414,0,2,3842.0,2448,0.028891202,0.03817484,0.03817484,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF2186-ZNF414,5,15,,0.6147309079515724,0.0614364178424866,0.08434597424799059,0.10407222580474627,0.07696676517152748,0.10078069065899789,0.1485869451113804,0.13302801045388266,0.15602218348648636,0.13476106316104156
"R1.73,R2.44,R3.33,P1.55-0-3-0",TFORF2186-ZNF414,0,3,2225.0,1640,0.021123596,0.1015299,0.1015299,train,Intestinal epithelial cells,others,intestinal epithelial,12.0,others,0.0,TFORF2186-ZNF414,5,14,,0.7677149189728683,0.060726504110806885,0.08294458966219198,0.10314078106876569,0.07524272093914607,0.09979045606245682,0.14557615684672687,0.1303761134595862,0.1516583226015226,0.15054566104130673
"R1.33,R2.57,R3.11,P1.63-1-3-0",TFORF2186-ZNF414,0,5,3681.0,2451,0.027709862,0.09772581,0.09772581,train,STC2_TLX1 positive cells,others,others,7.0,others,0.0,TFORF2186-ZNF414,5,15,,0.4368704285016834,0.059517260410543324,0.08204029929816035,0.09936419315754448,0.07443505521504108,0.0971389210440591,0.13924314079398933,0.17887088900995068,0.14814470650130715,0.12124643998028133
"R1.39,R2.59,R3.17,P1.15-3-1-0",TFORF1591-CTCF,0,3,4199.0,2684,0.024291499,0.08482998,0.08482998,train,Squamous epithelial cells,others,squamous epithelial,12.0,others,0.0,TFORF1591-CTCF,2,14,,0.6493009414187362,0.061425212242149474,0.08336426587444046,0.10506165319462643,0.07503243640302888,0.10127084225957532,0.1452598462157988,0.1300935063774528,0.150885737456932,0.14760729098671305
"R1.43,R2.68,R3.78,P1.39-2-2-0",TFORF1591-CTCF,0,6,5500.0,3268,0.028181817,0.043230977,0.043230977,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1591-CTCF,2,15,,0.728735288619302,0.061310506951995594,0.08475748473521903,0.10419562652370584,0.07736641329444417,0.10069348455089086,0.149640038678122,0.1327381829389823,0.15747300620196472,0.13182594025325722
