,TF,batch,louvain,n_counts,n_genes,percent_mito,dpt_pseudotime,discrete_time,split,cell_type,Cluster Enriched TFs_colors,highlight_celltype,Depth_from_root,Cluster Enriched TFs,velocity_self_transition,condition,condition_counts,clusters_gradients,terminal_states,terminal_states_probs,member_12-1_absorption,member_11-1_absorption,member_11-0_absorption,member_7-1_absorption,member_12-0_absorption,member_10_absorption,member_5_absorption,member_15_absorption,member_14_absorption
"R1.11,R2.75,R3.53,P1.54-0-1-0",TFORF3021-DLX4,0,6,5272.0,3114,0.02010622,0.042003512,0.042003512,train,Squamous epithelial cells,others,squamous epithelial,8.0,others,0.0,TFORF3021-DLX4,10,15,,0.6708615527228999,0.061359897120849924,0.0845022855136701,0.10407882746998398,0.07704097216157844,0.10068583182169795,0.1489946188345923,0.13269598656937703,0.1562981984948909,0.13434395211967315
"R1.57,R2.65,R3.85,P1.62-1-1-0",TFORF3021-DLX4,0,0,4635.0,2871,0.03128371,0.04621159,0.04621159,test,Ciliated epithelial cells,others,ciliated epithelial,5.0,others,0.0,TFORF3021-DLX4,10,15,,0.5623548763495797,0.06170360973231702,0.0843055821870048,0.10438259911449208,0.07655446996855339,0.10115744989237953,0.1466124877767542,0.13292254477504958,0.15392152930585262,0.1384401778125284
"R1.36,R2.43,R3.03,P1.07-2-1-0",TFORF3021-DLX4,0,0,7828.0,4022,0.022100152,0.03506042,0.03506042,train,Squamous epithelial cells,others,squamous epithelial,4.0,others,0.0,TFORF3021-DLX4,10,15,,0.5959413010644555,0.061650190683110784,0.0861328205781076,0.1041928699095301,0.07689684710931606,0.10178524557486017,0.14695745922024173,0.13446393641613721,0.15450875990078275,0.13341221537654208
"R1.30,R2.78,R3.32,P1.31-1-2-0",TFORF3021-DLX4,0,1,2149.0,1654,0.024662634,0.024028342,0.024028342,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,10.0,others,0.0,TFORF3021-DLX4,10,15,,0.6761582875317738,0.061166799984309815,0.0843506023038063,0.1045314870947678,0.0788306123927709,0.10123073974265294,0.14849372219303258,0.13221127653363113,0.16306938823600622,0.12611558707626191
"R1.87,R2.31,R3.93,P1.31-1-2-0",TFORF3021-DLX4,0,3,2960.0,2056,0.016554054,0.08674718,0.08674718,train,Intestinal epithelial cells,others,intestinal epithelial,9.0,others,0.0,TFORF3021-DLX4,10,14,,0.7583108871134621,0.06066159592011856,0.08290781315767472,0.10300900090164705,0.0752822254121742,0.09966533414204685,0.14580810711511902,0.1304021233648882,0.15180579999980318,0.150459217775233
"R1.77,R2.50,R3.36,P1.47-3-2-0",TFORF3021-DLX4,0,3,3947.0,2478,0.02938941,0.09904767,0.09904767,train,Intestinal epithelial cells,others,intestinal epithelial,8.0,others,0.0,TFORF3021-DLX4,10,14,,0.780126674104005,0.060703217166804165,0.08293260465197409,0.10311676886587445,0.07525286588614437,0.0997694134688819,0.14569735741317377,0.13036076167177063,0.15171929502841305,0.15044899863651737
"R1.93,R2.36,R3.78,P1.47-3-2-0",TFORF3021-DLX4,0,2,5118.0,3089,0.023837436,0.034771517,0.034771517,train,Ciliated epithelial cells,others,ciliated epithelial,23.0,others,0.0,TFORF3021-DLX4,10,15,,0.623400400282096,0.061499787603850276,0.08456643965132261,0.10428480515790695,0.07724569123131615,0.10088606473122043,0.14847261451226693,0.13361136960606726,0.15591512731230153,0.1335182825268111
"R1.07,R2.80,R3.08,P1.16-3-3-0",TFORF3021-DLX4,0,0,3688.0,2498,0.02494577,0.035385318,0.035385318,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,5.0,others,0.0,TFORF3021-DLX4,10,15,,0.5695682949866261,0.06163081042689077,0.084443984226893,0.10439201541974186,0.07738792860479551,0.10096883435041688,0.14604788553380518,0.13521633148801562,0.15427277446533322,0.13563988605988245
"R1.62,R2.45,R3.56,P1.40-2-4-0",TFORF3021-DLX4,0,2,3120.0,2156,0.026602564,0.03331042,0.03331042,train,Squamous epithelial cells,others,squamous epithelial,11.0,others,0.0,TFORF3021-DLX4,10,15,,0.6164799349188776,0.06147833107795288,0.08440433179290864,0.10391646636770742,0.07717554329650457,0.10079473589833164,0.1490165275497587,0.13336365863643576,0.15569866266598792,0.13415196291998757
"R1.85,R2.30,R3.75,P1.40-2-4-0",TFORF3021-DLX4,0,6,6177.0,3505,0.021369597,0.03402228,0.03402228,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,4.0,others,0.0,TFORF3021-DLX4,10,15,,0.6365419043043821,0.06153753648261822,0.08452877316320466,0.10410029495088967,0.07725004183723304,0.1009089021944557,0.14900740159066111,0.13331660405348122,0.15623886158514486,0.1331118189007106
"R1.37,R2.91,R3.85,P1.23-0-2-0",TFORF1864-POU2F2,0,9-2,3370.0,2320,0.021661721,0.02968096,0.02968096,train,PAEP_MECOM positive cells,others,PAEP_MECOM+ epithelial,10.0,others,0.0,TFORF1864-POU2F2,4,15,,0.5203213575963997,0.06701958048951887,0.08507598204965323,0.11753184986397207,0.07506915069629433,0.10805526902099465,0.14624630284657084,0.12712745785546548,0.14852019255280632,0.12535449812237376
"R1.80,R2.47,R3.80,P1.08-2-3-0",TFORF1864-POU2F2,0,4,6249.0,3470,0.020003201,0.033908665,0.033908665,val,Intestinal epithelial cells,others,intestinal epithelial,8.0,others,0.0,TFORF1864-POU2F2,4,15,,0.6299142366827839,0.06074944957786447,0.08337337251898333,0.10317546350533367,0.07682631589016255,0.09995354599683015,0.15599989190625935,0.13141705115563773,0.15571903488506392,0.13278609550860554
"R1.47,R2.13,R3.24,P1.40-2-4-0",TFORF1864-POU2F2,0,8-0,3004.0,2113,0.027296938,0.037692335,0.037692335,test,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1864-POU2F2,4,15,,0.6115825315101223,0.06156355160468564,0.0844179692222559,0.10419492713355176,0.07702196655831157,0.10092557121949482,0.14828611604480438,0.1333428488805789,0.15547584582759513,0.13477132593426863
"R1.21,R2.17,R3.58,P1.22-0-1",TFORF1864-POU2F2,1,7-0,4008.0,2651,0.020459082,0.028144376,0.028144376,train,Smooth muscle cells,others,smooth muscle,6.0,others,0.0,TFORF1864-POU2F2,4,15,,0.5421654078651037,0.06563173009047235,0.08573552516231535,0.10103046535607628,0.08821427415267949,0.1220909655578332,0.13889315053825166,0.13289401568168757,0.1532795956625612,0.11223034113799649
"R1.59,R2.96,R3.46,P1.08-2-3-0",TFORF1544-ZNF160,0,6,3042.0,2091,0.029257068,0.033441436,0.033441436,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,15,,0.6735838317716284,0.06140735815540275,0.08463722632482612,0.1042904243486889,0.07729619968020719,0.10077241874033885,0.14922671118661898,0.13298194589059423,0.15704625169123368,0.1323418739776695
"R1.01,R2.45,R3.47,P1.40-2-4-0",TFORF1544-ZNF160,0,0,4685.0,2919,0.024332978,0.04546073,0.04546073,train,Squamous epithelial cells,others,squamous epithelial,5.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5505251965574819,0.06234139437346052,0.08486103433972003,0.10512103321794235,0.07616092005560558,0.10221546609267974,0.14574136813610736,0.13253723374826093,0.15303381611886793,0.13798821076232867
"R1.75,R2.42,R3.12,P1.47-3-2-0",TFORF1544-ZNF160,0,0,3510.0,2366,0.03076923,0.053171117,0.053171117,train,Squamous epithelial cells,others,squamous epithelial,12.0,others,0.0,TFORF1544-ZNF160,30,14,,0.4932759667673097,0.06563868461711193,0.08667154836241842,0.11229561247588814,0.07395972058082412,0.11017268762309079,0.14107319294654755,0.1282016450827989,0.14776025762764455,0.13422723403954737
"R1.64,R2.61,R3.62,P1.63-1-3-0",TFORF1544-ZNF160,0,14,4611.0,2880,0.027976578,0.12400105,0.12400105,train,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF1544-ZNF160,30,14,,0.8274915923875338,0.05214574443178951,0.07124507732253757,0.08854531072178055,0.06466068675585047,0.08564001305116885,0.1249490470621708,0.11207968308918614,0.13029030888317863,0.270445085010973
"R1.46,R2.26,R3.41,P1.22-0-0",TFORF1544-ZNF160,0,1,1810.0,1429,0.021546962,0.028215827,0.028215827,train,Inhibitory neurons,others,others,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7078940065252148,0.0610395007794775,0.08466292493451179,0.10463228263387676,0.07825411970793669,0.10104252929700668,0.14865859637406817,0.13216806704512957,0.16317166941578126,0.126370529530841
"R1.25,R2.42,R3.65,P1.47-3-2-0",TFORF1544-ZNF160,0,1,7510.0,4010,0.025699068,0.031764418,0.031764418,val,Erythroblasts,others,others,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7176758376029357,0.060453644130272245,0.08436467645161931,0.10403774277697633,0.07877780528116993,0.10047932002883009,0.14705900961829582,0.13137633405777335,0.16980650840153513,0.1236451812330966
"R1.51,R2.01,R3.03,P1.31-1-2-0",TFORF1544-ZNF160,0,0,6037.0,3437,0.030313069,0.03168071,0.03168071,val,Squamous epithelial cells,others,squamous epithelial,23.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5866423893418398,0.062081574015952316,0.08475482199938109,0.10484056794503284,0.07737808912633888,0.10131519049278766,0.14634539163967958,0.1341339757575276,0.15520633170730536,0.13394444923085985
"R1.14,R2.55,R3.22,P1.38-0-0",TFORF1544-ZNF160,0,0,3662.0,2425,0.028672857,0.03972699,0.03972699,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5673017889216823,0.06222252220973855,0.08402361002094427,0.1039916990238908,0.07615354858401988,0.1010183489592961,0.1468918314136758,0.13226552798393754,0.15347349043661623,0.13995985221404328
"R1.06,R2.16,R3.88,P1.54-0-1-0",TFORF1544-ZNF160,0,3,4040.0,2617,0.01930693,0.10812708,0.10812708,train,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF1544-ZNF160,30,14,,0.7810104249577964,0.060636643252760226,0.08283056585219957,0.10301308744601481,0.07514998189486867,0.09965421944632138,0.1454727144570632,0.13019356578452704,0.1514937577172297,0.15155675137569166
"R1.53,R2.09,R3.81,P1.31-1-2-0",TFORF1544-ZNF160,0,4,5096.0,3083,0.027472528,0.025134783,0.025134783,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.6395433123363068,0.06139925349751231,0.08457939932178078,0.10414545380431603,0.07758740454417339,0.1007974591857065,0.14902246062984814,0.13326467569509085,0.1574529241163434,0.13175117398865083
"R1.69,R2.54,R3.02,P1.38-0-0",TFORF1544-ZNF160,0,9-2,2670.0,1957,0.033707865,0.06838529,0.06838529,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,15,,0.401719843686766,0.08132823419963528,0.097184955785539,0.12258048589510138,0.06691899968291919,0.15171621071762853,0.1240844821181059,0.11474263572623716,0.130956271357959,0.1104879719444011
"R1.59,R2.20,R3.78,P1.54-0-1-0",TFORF1544-ZNF160,0,3,5212.0,3167,0.026285496,0.076066785,0.076066785,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,14,,0.6185299360670078,0.06099315013372156,0.08309915532796346,0.10389409199934568,0.07512047754513956,0.10018934934960658,0.14474393849179462,0.1303102388267372,0.15115619949133924,0.15049412771117224
"R1.46,R2.08,R3.22,P1.30-0-0",TFORF1544-ZNF160,0,6,2690.0,1910,0.024535315,0.03883746,0.03883746,train,Erythroblasts,others,others,5.0,others,0.0,TFORF1544-ZNF160,30,15,,0.640701090481722,0.061410346104256504,0.08439501749239574,0.10406241372522819,0.07706319426784979,0.10070217451706426,0.1489536984594965,0.13301952647805737,0.1564926325729684,0.1339012767701747
"R1.57,R2.76,R3.85,P1.38-0-0",TFORF1544-ZNF160,0,14,1589.0,1259,0.023285085,0.04364336,0.04364336,val,STC2_TLX1 positive cells,others,others,9.0,others,0.0,TFORF1544-ZNF160,30,15,,0.565608804553935,0.061055568328938346,0.08359968816598952,0.10327749544717033,0.0760464989171371,0.10004948582334129,0.14651755279681813,0.1317590850192023,0.15337306630932765,0.14432197602122515
"R1.78,R2.61,R3.20,P1.54-0-1-0",TFORF1544-ZNF160,0,1,3953.0,2582,0.018972931,0.03796152,0.03796152,train,Inhibitory neurons,others,others,9.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7521454036284249,0.06075893265673177,0.08431812910709291,0.10426875417804639,0.07839630583001221,0.10091244975526201,0.14850439142503072,0.13184858533516,0.16602719110743278,0.12496547193899626
"R1.61,R2.24,R3.06,P1.07-2-1-0",TFORF1544-ZNF160,0,9-2,1586.0,1221,0.016393442,0.043204863,0.043204863,test,Ureteric bud cells,others,ureteric bud,12.0,others,0.0,TFORF1544-ZNF160,30,15,,0.533917300500166,0.06046643068411211,0.08188138421920667,0.10313155013492466,0.07473567849429083,0.10030582214808366,0.17114121138750008,0.12969226093664712,0.14988507703183662,0.12876075566053663
"R1.14,R2.69,R3.11,P1.15-3-1-0",TFORF1544-ZNF160,0,3,2562.0,1841,0.022638563,0.1060599,0.1060599,train,Intestinal epithelial cells,others,intestinal epithelial,12.0,others,0.0,TFORF1544-ZNF160,30,14,,0.7607746631824319,0.061419869243332696,0.0832666013890234,0.10482047360769059,0.07488809726987367,0.10164959745684107,0.14549954959670267,0.12973715637445912,0.15062828470228748,0.14809166135640592
"R1.41,R2.67,R3.35,P1.46-0-0",TFORF1544-ZNF160,0,3,1918.0,1451,0.020333681,0.057892438,0.057892438,test,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF1544-ZNF160,30,14,,0.6086518675245515,0.061018994736802085,0.08354460695637553,0.10352464305141222,0.07596506511787568,0.10020355614147873,0.14734851097787988,0.1314981888019855,0.15330335882475282,0.14359385406032815
"R1.45,R2.37,R3.05,P1.62-1-1-0",TFORF1544-ZNF160,0,1,3061.0,2145,0.024175106,0.03583616,0.03583616,train,Squamous epithelial cells,others,squamous epithelial,8.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7368080421690459,0.06047502517464472,0.08405203213691939,0.10381692087907024,0.07848230322615558,0.10057639160278625,0.1471078546736386,0.13163888384010497,0.1702594993762157,0.12359131341350611
"R1.14,R2.52,R3.38,P1.08-2-3-0",TFORF1544-ZNF160,0,0,7382.0,3899,0.019913303,0.04710929,0.04710929,test,Squamous epithelial cells,others,squamous epithelial,23.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5402446616486786,0.06153070467026562,0.08414026032867235,0.10452285679957256,0.07754878622973453,0.10108760037711556,0.1454238954423084,0.13368761468896007,0.15327609590083444,0.13878276423160515
"R1.30,R2.10,R3.01,P1.46-0-0",TFORF1544-ZNF160,0,0,3439.0,2329,0.026751963,0.04192417,0.04192417,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5636701598955765,0.0616180241232923,0.08408773818180607,0.10402022746272359,0.07647975300859049,0.10079196848435565,0.14650516948042153,0.132891309727718,0.15383785221757515,0.1397684116770179
"R1.39,R2.31,R3.88,P1.31-1-2-0",TFORF1544-ZNF160,0,7-1,7505.0,4068,0.027048634,0.047151122,0.047151122,val,STC2_TLX1 positive cells,others,others,5.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5393908550840855,0.05782159593247198,0.08048969062936791,0.09845302398372367,0.11915745847429779,0.09697572127474902,0.13615757110826845,0.12875069376831663,0.16651067809365033,0.11568421469458735
"R1.35,R2.21,R3.18,P1.62-1-1-0",TFORF1544-ZNF160,0,13,4815.0,3031,0.022014538,0.04038672,0.04038672,train,Ciliated epithelial cells,others,ciliated epithelial,10.0,others,0.0,TFORF1544-ZNF160,30,15,,0.732090287701264,0.06302580980007962,0.08383241445150875,0.10434700224303238,0.0789895286130887,0.10936529542613224,0.14773786145816764,0.1299931880883644,0.16179573811426698,0.12091304541434315
"R1.72,R2.03,R3.51,P1.07-2-1-0",TFORF1544-ZNF160,0,2,5049.0,3062,0.022974847,0.027060766,0.027060766,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.6385919482231109,0.06136404081714301,0.084663492584513,0.10401316820158157,0.0774828700654459,0.10086177149203801,0.14858358957491485,0.13388736657863287,0.15799236059178073,0.1311514662773325
"R1.01,R2.25,R3.18,P1.54-0-1-0",TFORF1544-ZNF160,0,11-0,6746.0,3710,0.022680108,0.35549235,0.35549235,train,Unipolar brush cells,others,others,23.0,others,0.0,TFORF1544-ZNF160,30,11-0,,0.75421715886483,0.030494483630592994,0.05203402325024678,0.5972341827844351,0.03293638069504752,0.05552064862232259,0.05984990602576802,0.05516668916918258,0.06472166164812759,0.052042148314533195
"R1.10,R2.83,R3.91,P1.08-2-3-0",TFORF1544-ZNF160,0,1,3204.0,2232,0.018102372,0.031214684,0.031214684,train,Inhibitory neurons,others,others,10.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7276407179680809,0.060963895929701445,0.08439649648716453,0.10472493974172913,0.07817683132060183,0.10096096587988738,0.14926564654500413,0.13189036825333617,0.16308312105525677,0.1265379438263132
"R1.56,R2.63,R3.18,P1.22-0-0",TFORF1544-ZNF160,0,6,3162.0,2177,0.03320683,0.036863144,0.036863144,train,Squamous epithelial cells,others,squamous epithelial,23.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7248306218613286,0.06132961697612775,0.08475719310196365,0.10418078830899766,0.07737059578839597,0.10070785270375084,0.1495878881858052,0.13278295122468375,0.15744726067971132,0.1318364824212087
"R1.11,R2.68,R3.19,P1.39-2-2-0",TFORF1544-ZNF160,0,2,3630.0,2356,0.023140496,0.042577993,0.042577993,test,Inhibitory neurons,others,others,11.0,others,0.0,TFORF1544-ZNF160,30,15,,0.656229208728552,0.061314472426745835,0.08424882707885668,0.10395291569205282,0.07716226959873423,0.10069141495461993,0.15017691093961555,0.1326801081883671,0.15658593767985296,0.13318707640252525
"R1.30,R2.70,R3.29,P1.31-1-2-0",TFORF1544-ZNF160,0,1,6729.0,3724,0.028681826,0.03151857,0.03151857,train,Ciliated epithelial cells,others,ciliated epithelial,5.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7050496262043794,0.061044823035451556,0.08445885932826483,0.10453044491364379,0.07809067161731201,0.10084692865658326,0.14910373796105583,0.13219746570077123,0.1626030638742303,0.12712423736050713
"R1.88,R2.15,R3.71,P1.23-0-2-0",TFORF1544-ZNF160,0,10,2861.0,1957,0.013282069,0.29515582,0.29515582,train,Ureteric bud cells,others,ureteric bud,12.0,others,0.0,TFORF1544-ZNF160,30,10,,0.9269978413761009,0.016152655215468364,0.021387507915458286,0.026202805020048958,0.020697650448035777,0.02629881677534966,0.7827401526507293,0.03458791308082108,0.04005023752644378,0.03188206701623994
"R1.41,R2.10,R3.90,P1.54-0-1-0",TFORF2641-PAX3,0,5,4790.0,2933,0.021085596,0.09708822,0.09708822,test,Squamous epithelial cells,others,squamous epithelial,8.0,others,0.0,TFORF2641-PAX3,3,5,,0.42432592945510295,0.05852967965419981,0.08186526606741724,0.0980326919725168,0.07363091381237738,0.09598501626836915,0.1371201209196017,0.19000701256690825,0.14625018442822982,0.11857999605920813
"R1.14,R2.71,R3.59,P1.62-1-1-0",TFORF2641-PAX3,0,8-0,4095.0,2487,0.033699635,0.065186255,0.065186255,train,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF2641-PAX3,3,15,,0.5958546640493417,0.061344397828743506,0.08412430689177215,0.10386949910775214,0.07665360021859606,0.1006221333022165,0.14834142213252777,0.13271280910028643,0.15476420432053054,0.1375676592171838
"R1.77,R2.76,R3.70,P1.24-0-4-0",TFORF2641-PAX3,0,11-1,6583.0,3762,0.021114994,0.18615429,0.18615429,val,STC2_TLX1 positive cells,others,others,7.0,others,0.0,TFORF2641-PAX3,3,11-1,,0.5838469559966478,0.04140930855400305,0.40081475038829023,0.08476529936377415,0.0513014427914406,0.07528904379586294,0.08894212297223301,0.08604971657751032,0.09643524917643127,0.07499329173741229
"R1.33,R2.65,R3.82,P1.15-3-1-0",TFORF1984-ZNF534,0,3,4134.0,2653,0.026124818,0.08519264,0.08519264,train,Squamous epithelial cells,others,squamous epithelial,10.0,others,0.0,TFORF1984-ZNF534,37,14,,0.692754616436043,0.06124493407723554,0.0832583429775657,0.10441610380340446,0.07508930801501529,0.1007902330070891,0.14483935809990073,0.13025216070950849,0.15103761995820772,0.1490728441070938
"R1.47,R2.78,R3.50,P1.24-0-4-0",TFORF1984-ZNF534,0,1,1506.0,1144,0.016600266,0.032478333,0.032478333,train,Inhibitory neurons,others,others,23.0,others,0.0,TFORF1984-ZNF534,37,15,,0.7079016895815274,0.06108520534303258,0.08439234388246027,0.10462485876308583,0.07784991815507752,0.10075232757893623,0.1498047638178362,0.13217244237223155,0.16053035480327305,0.1287880724910355
"R1.23,R2.83,R3.55,P1.07-2-1-0",TFORF1984-ZNF534,0,0,3278.0,2225,0.026540574,0.050547343,0.050547343,train,Squamous epithelial cells,others,squamous epithelial,5.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5556400727618915,0.06155360056619731,0.08409582799400411,0.10405329012819732,0.07628512516530829,0.10077997139772474,0.14681762455984373,0.13255248195938757,0.15375269501618669,0.14010985652223135
"R1.10,R2.81,R3.35,P1.54-0-1-0",TFORF1984-ZNF534,0,1,4533.0,2840,0.029340392,0.030848345,0.030848345,train,Ciliated epithelial cells,others,ciliated epithelial,23.0,others,0.0,TFORF1984-ZNF534,37,15,,0.7053702057348495,0.061109274479236114,0.08456128171323707,0.10435890578071372,0.0782304647962957,0.10092051358255742,0.14914953764874195,0.1323809757141992,0.16127412385968037,0.12801526914905662
"R1.57,R2.43,R3.59,P1.08-2-3-0",TFORF1984-ZNF534,0,3,7925.0,4119,0.016151419,0.11265607,0.11265607,train,Intestinal epithelial cells,others,intestinal epithelial,8.0,others,0.0,TFORF1984-ZNF534,37,14,,0.7697960873739643,0.06043298205037567,0.08260139490355119,0.10261303208278551,0.07501140944528066,0.09929175818429314,0.14531538934698013,0.12992417398245998,0.15126868059165224,0.15354240653293974
"R1.76,R2.26,R3.25,P1.47-3-2-0",TFORF1984-ZNF534,0,1,5072.0,3062,0.018927446,0.022973405,0.022973405,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1984-ZNF534,37,15,,0.6590405776838423,0.06099938928505342,0.08411599176806787,0.10402115972865006,0.07767127841527081,0.10065241190307761,0.1507896838142774,0.1325059884949538,0.16160949454256954,0.12763481058030593
"R1.38,R2.92,R3.12,P1.30-0-0",TFORF1984-ZNF534,0,8-0,2307.0,1570,0.017338535,0.055987418,0.055987418,train,Inhibitory neurons,others,others,9.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5997613100987222,0.06136185332067073,0.08415435326871333,0.10388853006987708,0.07668509606378177,0.10064505959588474,0.14838953229660987,0.1327743023893708,0.1548276097010069,0.13727370187749027
"R1.29,R2.49,R3.89,P1.40-2-4-0",TFORF1984-ZNF534,0,4,4599.0,2902,0.023918243,0.037399407,0.037399407,train,Erythroblasts,others,others,6.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5999874717354542,0.061471466808951734,0.08428606760714497,0.10411889028184403,0.07681290624484635,0.10075731485142218,0.1481454924739819,0.13291814663114915,0.15523985202634008,0.13625018105847245
"R1.11,R2.35,R3.91,P1.30-0-0",TFORF1984-ZNF534,0,0,3094.0,2171,0.023270847,0.04525542,0.04525542,train,Squamous epithelial cells,others,squamous epithelial,5.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5539950048576024,0.061383024021507394,0.08452227543178292,0.10390280726103701,0.07625846615119929,0.10061657928348904,0.14686678799374747,0.13235143951400147,0.15365620858468754,0.14044288512489045
"R1.57,R2.75,R3.68,P1.23-0-2-0",TFORF1984-ZNF534,0,3,3252.0,2202,0.031365313,0.085324325,0.085324325,train,Intestinal epithelial cells,others,intestinal epithelial,9.0,others,0.0,TFORF1984-ZNF534,37,14,,0.7555483133861303,0.06073387411231662,0.08296628944942057,0.1031375880689178,0.07527518266832153,0.09979393533754866,0.145639878813924,0.13042824721608928,0.15173696606217155,0.15028925125646314
"R1.34,R2.60,R3.44,P1.62-1-1-0",TFORF1984-ZNF534,0,3,3546.0,2414,0.022560632,0.055317573,0.055317573,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5496415747919887,0.06126813712637482,0.08387651541656552,0.10378932676408634,0.07628256982027859,0.10050066317565956,0.14755725851021195,0.13219499464155995,0.15390777364642502,0.14062319233327825
"R1.75,R2.36,R3.67,P1.46-0-0",TFORF1984-ZNF534,0,1,4763.0,2831,0.01847575,0.041968253,0.041968253,train,Retinal progenitors and Muller glia,others,others,8.0,others,0.0,TFORF1984-ZNF534,37,15,,0.7463213839920859,0.06066976037611831,0.08421295357733904,0.10444238921866553,0.0783688967657199,0.10073193709305166,0.14884593707455074,0.1316406267872061,0.16590598722471298,0.12518169144133962
"R1.64,R2.69,R3.05,P1.07-2-1-0",TFORF1984-ZNF534,0,3,3385.0,2279,0.015361891,0.06404388,0.06404388,val,Intestinal epithelial cells,others,intestinal epithelial,12.0,others,0.0,TFORF1984-ZNF534,37,14,,0.7069497471846709,0.06080760733497132,0.08315179989411411,0.10320547927785957,0.07555700199714535,0.09987824905832889,0.14639328105089727,0.1308789884592284,0.15240188454323556,0.14772675110288155
"R1.34,R2.33,R3.64,P1.55-0-3-0",TFORF1984-ZNF534,0,3,1960.0,1456,0.026530612,0.07178183,0.07178183,val,Intestinal epithelial cells,others,intestinal epithelial,11.0,others,0.0,TFORF1984-ZNF534,37,14,,0.6095753345728301,0.06102691012415341,0.08360977414628036,0.10356732257261803,0.07613863642026705,0.10022964627006452,0.14772843460884108,0.1315892807781481,0.15383119909943394,0.14227929020527066
"R1.54,R2.29,R3.35,P1.08-2-3-0",TFORF1984-ZNF534,0,9-0,5047.0,3061,0.028333664,0.035711188,0.035711188,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5629225440828886,0.060617101751591025,0.08220098004765353,0.1008848520225998,0.07577351513971191,0.09946811244715388,0.16930974608775312,0.13461361564754978,0.1518187805304435,0.12531338089683264
"R1.58,R2.82,R3.89,P1.08-2-3-0",TFORF1984-ZNF534,0,1,7237.0,3887,0.027912118,0.023552578,0.023552578,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,7.0,others,0.0,TFORF1984-ZNF534,37,15,,0.5689581498364402,0.06074224487156813,0.08423997998183302,0.10289193686994737,0.07874008584891282,0.10015996593215164,0.14382263016383287,0.14925661973991836,0.15744437427213287,0.12270259711408202
"R1.13,R2.16,R3.87,P1.39-2-2-0",TFORF1984-ZNF534,0,1,3238.0,2163,0.02470661,0.03590553,0.03590553,train,Inhibitory neurons,others,others,10.0,others,0.0,TFORF1984-ZNF534,37,15,,0.7346904883727615,0.06076337278008037,0.08434217720081659,0.10430579960336817,0.07827416352044006,0.10075830109294238,0.1484231795277225,0.1319805948719482,0.16563595414392301,0.12551668283133013
"R1.41,R2.90,R3.62,P1.62-1-1-0",TFORF1984-ZNF534,0,7-0,2119.0,1627,0.022652194,0.04038642,0.04038642,val,Retinal progenitors and Muller glia,others,others,7.0,others,0.0,TFORF1984-ZNF534,37,15,,0.6958151566009781,0.06060775123376189,0.0841656332713864,0.10339644830423034,0.0819335863864528,0.10278558524240085,0.14845460885075737,0.1308865243228688,0.1684079723170199,0.11936182938808396
