,Pearson_r
AUH,0.7998556060178326
AVIL,0.9165394496883303
AXDND1,0.8667273601649903
B3GAT2,0.9093535358654603
B4GALNT2,0.8394154634447313
B9D2,0.27104140521161413
BAALC,0.8488501758453868
BACH2,0.7552186913064258
BAHCC1,0.9004817347227722
BANK1,0.904675008987001
BARD1,0.8651578681076183
BBOF1,0.8796363370064484
BBOX1-AS1,0.8628034966048947
BBS5,0.8097389470913523
BCAR3,0.8747578951492538
BCAS3,0.8140007124184929
BCHE,0.8959459589873717
BCL11B,0.8692495532515158
BCL2,0.8889701036095506
BCL9,0.8729489718812414
BCO2,0.8260573071789158
BCOR,0.812770244245205
BEX3,0.8571080986541493
BEX5,0.8728818247039539
BGN,0.816790429194149
BHLHE40,0.8059740902218863
BHLHE40-AS1,0.23999726164473437
BHMT,0.8840036797571913
BICC1,0.8578321165457738
BISPR,0.831627093715098
BIVM,0.8335261530913313
BLOC1S4,0.9136673106208311
BLOC1S5-TXNDC5,0.8743687215267639
BMP2,0.8807137224416512
BMP2K,0.872198827084462
BMP3,0.8548175453178641
BMP4,0.8550417160788655
BMP5,0.8509854935411669
BMP6,0.8787165379310024
BMP7,0.8907904254600882
BMP8A,0.892498335294032
BMP8B,0.7798829630388788
BMPER,0.8247288704864975
BMPR1B,0.8494721104793428
BMPR2,0.8618936959377167
BMS1P5,0.8533245514047952
BNC1,0.7688564154948998
BOC,0.8912999635383829
BOD1L1,0.7232982166081527
BORCS6,0.9041966241434429
BRDT,0.8793598085144105
BRE,0.7530334038018713
BRINP1,0.8636565771910497
BRINP2,0.7862787058243665
BRINP3,0.8232877431760797
BRIP1,0.861970747353296
BSG,0.8609132090392639
BST1,0.8245707387767788
BTBD11,0.8673007234862836
BTBD16,0.8891410746898255
BTBD6,0.8584948837580125
BTBD9,0.8655688619429138
BTG2,0.893225216585444
BTLA,0.8844249306503977
BTNL8,0.8481834208618301
BVES,0.8611621041364096
BZW1,0.8704157714287872
C10orf107,0.7441076375335907
C10orf11,0.8881273839602841
C10orf90,0.8774169323433338
C11orf63,0.9012208908098127
C12orf54,0.8824414873235119
C12orf56,0.8849759540853466
C12orf60,0.866870391485255
C14orf105,0.7838405923261894
C14orf166,0.8553265063450064
C14orf178,0.9345700023507346
C14orf37,0.8788425714764269
C15orf41,0.8636852973047947
C15orf65,0.8798177686327628
C17orf97,0.869590870292065
C18orf32,0.8749416597597938
C19orf38,0.9485610818239117
C19orf57,0.8986045880906058
C1GALT1,0.8656338897932025
C1QBP,0.7450939831479576
C1QL3,0.8971140115001259
C1orf101,0.9027145770733511
C1orf132,0.851301506973312
C1orf158,0.8847482168280818
C1orf162,0.8852915780519792
C1orf168,0.9089064673896926
C1orf194,0.7830441903598452
C1orf228,0.8765106272977231
C1orf61,0.8054081634652366
C20orf166-AS1,0.8194809888728838
C21orf2,0.8875346312021948
C21orf59,0.7722360258884658
C21orf62-AS1,0.8888450746460248
C21orf91-OT1,0.8412405677758457
C2orf40,0.8945120157243653
C2orf88,0.5660467373677545
C3,0.8705917944951227
C3orf70,0.8474474054536566
C4orf19,0.8627946943810733
C4orf22,0.8347630047755898
C4orf32,0.9058068290664245
C4orf47,0.9046765823055114
C4orf48,0.8912913579792974
C4orf50,0.8533702288817843
C4orf51,0.8086583961477544
C5,0.8307466362016213
C5orf17,0.88345296544318
C5orf46,0.8602105068457039
C6orf1,0.845569155584733
C6orf106,0.8720905661227801
C6orf118,0.8832601247121283
C6orf99,0.9000487812786169
C8orf31,0.871870184798841
C8orf34,0.8925014925078832
C8orf37-AS1,0.8695452544349596
C8orf4,0.86755677196871
C8orf48,0.9319482779186324
C8orf89,0.876357604008955
C9orf135,0.8447676581745882
C9orf3,0.8023966720948632
C9orf43,0.9143407817157805
C9orf84,0.8786238263514647
C9orf92,0.8855672636496886
CA1,0.8963586760254124
CA10,0.8634987024688179
CA12,0.8676606006424967
CA2,0.8812729217044853
CA3,0.7428890468193654
CA3-AS1,0.9238563522563563
CA8,0.8777336519123926
CABIN1,0.8799085436564839
CABP7,0.8398533759032232
CACNA1B,0.8689499766628839
CACNA1C,0.8652067654654023
CACNA1E,0.8857900320468015
CACNA2D4,0.9123849360594976
CACNB2,0.8655140839839728
CACNB4,0.890454924646201
CACNG2,0.9055164196924095
CACNG6,0.897163161354717
CADM1,0.8624635148321121
CADPS,0.8698665396814029
CADPS2,0.7779198460384784
CALB1,0.8766837671451704
CALCA,0.8702785928961774
CALCR,0.8298844924381981
CALCRL,0.8641726101889478
CALHM2,0.8560664899981788
CALR3,0.8929264408457948
CAMK1D,0.8811239806057749
CAMK1G,0.91138292958696
CAMK2A,0.8824931009753818
CAMK2B,0.9125312518711637
CAMK2D,0.8669482011464399
CAMK2N2,0.8088804197928297
CAMK4,0.8886264211221083
CAMKK2,0.8889831474561937
CAND1.11,0.9081259971475513
